Query Topic: 1 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.6300937667159343
4 | 0.5693939432397991
5 | 0.5307721888661445
6 | 0.47876944423011414
7 | 0.4391517120111795
8 | 0.4255573662643939
9 | 0.41437687173630233
10 | 0.4049597205954659

Query Topic: 2 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.8450234416789836
4 | 0.7899242429049749
5 | 0.7850965236082681
6 | 0.7816579192633192
7 | 0.7583509848772699
8 | 0.7397832829246881
9 | 0.724512515655203
10 | 0.711650193416061

Query Topic: 3 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 1.0
3 | 1.0
4 | 0.9201515141900503
5 | 0.899576452807563
6 | 0.8359337844358616
7 | 0.8288228426216565
8 | 0.8051903237059649
9 | 0.7698326368807048
10 | 0.7400514246107793

Query Topic: 4 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.9049765583210164
4 | 0.8802272712850754
5 | 0.864479929199295
6 | 0.8287697750489814
7 | 0.7808771072092962
8 | 0.7606904513912697
9 | 0.7600096224643712
10 | 0.7164686704579437

Query Topic: 5 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.8450234416789836
4 | 0.8298484858099497
5 | 0.7899625472406352
6 | 0.761553281242016
7 | 0.7192227165908961
8 | 0.7034671658047098
9 | 0.6905092160340357
10 | 0.6795949428630945

Query Topic: 6 (google_domain_search)
K | NDCG@K
1 | 0.75
2 | 0.875
3 | 0.8450234416789836
4 | 0.8298484858099497
5 | 0.8201930472165362
6 | 0.7888219286501993
7 | 0.7442349084461836
8 | 0.6907466975562564
9 | 0.6626774336731288
10 | 0.6533576433405761

Query Topic: 7 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.625
3 | 0.5350703250369507
4 | 0.5294697003348242
5 | 0.49567566525787643
6 | 0.471605434843234
7 | 0.47395505905674823
8 | 0.4398918783815725
9 | 0.4277984803524817
10 | 0.4032899049991174

Query Topic: 8 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.7850703250369508
4 | 0.6596969716198996
5 | 0.6403860944330723
6 | 0.6021377671768376
7 | 0.5729986900441705
8 | 0.5497847533500116
9 | 0.5306927501731853
10 | 0.5002893620022245

Query Topic: 9 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.7850703250369508
4 | 0.7395454574298493
5 | 0.7105791416496084
6 | 0.6899475155799148
7 | 0.6535422623360314
8 | 0.6245396539043836
9 | 0.6006868322305569
10 | 0.5805959832727169

Query Topic: 10 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.8450234416789836
4 | 0.8298484858099497
5 | 0.8201930472165362
6 | 0.8133158385266382
7 | 0.7873892403690222
8 | 0.7667345571206271
9 | 0.7656688050630608
10 | 0.7504486389639166

Query Topic: 11 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.7251172083949179
4 | 0.6492424290497488
5 | 0.6009652360826806
6 | 0.5665791926331915
7 | 0.5403825549175229
8 | 0.5195127419593909
9 | 0.5023486331507077
10 | 0.5022140799552309

Query Topic: 12 (google_domain_search)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.75
4 | 0.789924242904975
5 | 0.7246355236564663
6 | 0.7026267145705137
7 | 0.6651722692438566
8 | 0.6173662953347202
