Query Topic: 1 (our_search_post_training)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.3800937667159343
4 | 0.319393943239799
5 | 0.31100268884204535
6 | 0.30502591139117535
7 | 0.3211598383266266
8 | 0.316045576154681
9 | 0.2959179910238848
10 | 0.29328734927369265

Query Topic: 2 (our_search_post_training)
K | NDCG@K
1 | 1.0
2 | 1.0
3 | 0.9400468833579672
4 | 0.9096969716198995
5 | 0.8601555944571713
6 | 0.8003752098922153
7 | 0.7548321662660443
8 | 0.7365173620340941
9 | 0.721454587236947
10 | 0.6944449534779268

Query Topic: 3 (our_search_post_training)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.8450234416789836
4 | 0.8298484858099497
5 | 0.850423547192437
6 | 0.8650783958112604
7 | 0.8555557641471483
8 | 0.8479694645671705
9 | 0.825808784116559
10 | 0.8071431985592438

Query Topic: 4 (our_search_post_training)
K | NDCG@K
1 | 1.0
2 | 0.625
3 | 0.5350703250369507
4 | 0.4895454574298493
5 | 0.4605791416496084
6 | 0.43994751557991485
7 | 0.42422953295051363
8 | 0.41170764517563446
9 | 0.4014091798904245
10 | 0.3927349478279869

Query Topic: 5 (our_search_post_training)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.5
4 | 0.5
5 | 0.5
6 | 0.5
7 | 0.5
8 | 0.5359350322612522
9 | 0.5654893366056684
10 | 0.5617374524481572

Query Topic: 6 (our_search_post_training)
K | NDCG@K
1 | 0.25
2 | 0.125
3 | 0.15497655832101642
4 | 0.17015151419005023
5 | 0.1798069527834639
6 | 0.21117807134980068
7 | 0.23507782093933416
8 | 0.21818276278061455
9 | 0.204287639851288
10 | 0.19258400076652335

Query Topic: 7 (our_search_post_training)
K | NDCG@K
1 | 0.75
2 | 0.875
3 | 0.7850703250369508
4 | 0.7395454574298493
5 | 0.7710401416014102
6 | 0.7199909005198425
7 | 0.6810995847382496
8 | 0.650116429767487
9 | 0.6246347331072756
10 | 0.6031719088850345

Query Topic: 8 (our_search_post_training)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.5
4 | 0.5
5 | 0.5
6 | 0.5
7 | 0.4586254587710354
8 | 0.49753408198000215
9 | 0.49769112570602725
10 | 0.46917840063272487

Query Topic: 9 (our_search_post_training)
K | NDCG@K
1 | 0.75
2 | 0.625
3 | 0.7149296749630493
4 | 0.6806060567602009
5 | 0.6587668111820537
6 | 0.6432115313242024
7 | 0.6106736378952473
8 | 0.5847520002681497
9 | 0.5634330833414218
10 | 0.5454765016934899

Query Topic: 10 (our_search_post_training)
K | NDCG@K
1 | 0.75
2 | 0.875
3 | 0.9049765583210164
4 | 0.7604545425701508
5 | 0.7289598583985898
6 | 0.7065273698508406
7 | 0.6894374194932341
8 | 0.6937900560619048
9 | 0.6973698259342651
10 | 0.6860625084155009

Query Topic: 11 (our_search_post_training)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.5
4 | 0.5
5 | 0.5
6 | 0.4510121802471221
7 | 0.4343786067688048
8 | 0.4211273044037614
9 | 0.4261503675784589
10 | 0.4160587128494324

Query Topic: 12 (our_search_post_training)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.6199062332840657
4 | 0.6806060567602009
5 | 0.5983058112302518
6 | 0.5396864167549579
7 | 0.4950278609534775
8 | 0.4594501766463139
9 | 0.44611119461593196
10 | 0.47784348481237054

Query Topic: 13 (our_search_post_training)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.4400468833579672
4 | 0.40969697161989954
5 | 0.4206165944089732
6 | 0.4283942343378988
7 | 0.4756940869740998
8 | 0.49540847064217575
9 | 0.4957008854234696
10 | 0.49594718170171914

Query Topic: 14 (our_search_post_training)
K | NDCG@K
1 | 0.25
2 | 0.625
3 | 0.7149296749630493
4 | 0.7604545425701508
5 | 0.6987293584226889
6 | 0.6547648125662184
7 | 0.6212708957151082
8 | 0.5945876324847356
9 | 0.5726423263923589
10 | 0.5541581472011271

Query Topic: 15 (our_search_post_training)
K | NDCG@K
1 | 1.0
2 | 1.0
3 | 0.9400468833579672
4 | 0.9496212145248744
5 | 0.8952521180654394
6 | 0.8320331291555344
7 | 0.8252449629867611
8 | 0.7839020703806572
9 | 0.7817429931488248
10 | 0.7512794365567733

Query Topic: 16 (our_search_post_training)
K | NDCG@K
1 | 0.75
2 | 0.875
3 | 0.8450234416789836
4 | 0.7899242429049749
5 | 0.7548660236323671
6 | 0.680907542225819
7 | 0.6659376090969132
8 | 0.636044146293782
9 | 0.595537226825917
10 | 0.575741398766692

Query Topic: 17 (our_search_post_training)
K | NDCG@K
1 | 0.25
2 | 0.625
3 | 0.5950234416789836
4 | 0.5
5 | 0.4395390000481981
6 | 0.3964748854307555
7 | 0.42572876428719475
8 | 0.39513161052878815
9 | 0.3699673755929561
10 | 0.34877194428722685

Query Topic: 18 (our_search_post_training)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.6300937667159343
4 | 0.6891666719547237
5 | 0.6360617596909487
6 | 0.5737432020200716
7 | 0.5883282903298833
8 | 0.54604509814346
9 | 0.5112698314497811
10 | 0.48197918231127923

Query Topic: 19 (our_search_post_training)
K | NDCG@K
1 | 1.0
2 | 0.5
3 | 0.5
4 | 0.46007575709502513
5 | 0.4044424764399301
6 | 0.36481696616743636
7 | 0.3346286969519956
8 | 0.31057891091097417
9 | 0.29079947420678476
10 | 0.27413957204807815

Query Topic: 20 (our_search_post_training)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.9049765583210164
4 | 0.9201515141900503
5 | 0.9298069527834639
6 | 0.9121902515969228
7 | 0.8987691570936567
8 | 0.888077108174377
9 | 0.8952049963755476
10 | 0.9012087022346001

Average NDCG@K:
K = 1: 0.6875
K = 2: 0.6625
K = 3: 0.6475117208394918
K = 4: 0.6279469700334823
K = 5: 0.6049177415414521
K = 6: 0.5762679263110997
K = 7: 0.5647850077342664
K = 8: 0.5511451469830008
K = 9: 0.5391311479211895
K = 10: 0.5261474492374789
