Query Topic: 1 (our_search_pre_training)
K | NDCG@K
1 | 0.0
2 | 0.0
3 | 0.0
4 | 0.0
5 | 0.0
6 | 0.0
7 | 0.0
8 | 0.0
9 | 0.0
10 | 0.0

Query Topic: 2 (our_search_pre_training)
K | NDCG@K
1 | 0.75
2 | 0.75
3 | 0.6300937667159343
4 | 0.5294697003348242
5 | 0.49567566525787643
6 | 0.49609934471967293
7 | 0.4964221203651047
8 | 0.47871174667469235
9 | 0.464146077989759
10 | 0.4662001492164207

Query Topic: 3 (our_search_pre_training)
K | NDCG@K
1 | 0.0
2 | 0.0
3 | 0.0
4 | 0.0
5 | 0.0
6 | 0.0
7 | 0.02068727061448231
8 | 0.03716799127125101
9 | 0.05072234765986771
10 | 0.062138964555270224

Query Topic: 4 (our_search_pre_training)
K | NDCG@K
1 | 0.25
2 | 0.25
3 | 0.25
4 | 0.25
5 | 0.25
6 | 0.25
7 | 0.25
8 | 0.25
9 | 0.23407857390721298
10 | 0.23499071242347555

Query Topic: 5 (our_search_pre_training)
K | NDCG@K
1 | 0.5
2 | 0.75
3 | 0.75
4 | 0.7100757570950252
5 | 0.6544424764399303
6 | 0.5903230562909976
7 | 0.5828489062581216
8 | 0.5768945500197314
9 | 0.5879188925322094
10 | 0.5828820190939621

Query Topic: 6 (our_search_pre_training)
K | NDCG@K
1 | 0.5
2 | 0.25
3 | 0.19004688335796716
4 | 0.1596969716198995
5 | 0.14038609443307223
6 | 0.12663167705327655
7 | 0.11615302196700909
8 | 0.16170764517563446
9 | 0.1991734581687855
10 | 0.23073031128331775

Query Topic: 7 (our_search_pre_training)
K | NDCG@K
1 | 0.75
2 | 0.625
3 | 0.5950234416789836
4 | 0.5798484858099497
5 | 0.5399625472406352
6 | 0.511553281242016
7 | 0.4899099872053785
8 | 0.47266764094533487
9 | 0.4584868953910693
10 | 0.44654268095236704

Query Topic: 8 (our_search_pre_training)
K | NDCG@K
1 | 0.5
2 | 0.25
3 | 0.19004688335796716
4 | 0.1596969716198995
5 | 0.23107759436077505
6 | 0.20843761927782647
7 | 0.19118959753287115
8 | 0.19541630495277817
9 | 0.2307353582046144
10 | 0.2604840300355523

Query Topic: 9 (our_search_pre_training)
K | NDCG@K
1 | 0.0
2 | 0.125
3 | 0.15497655832101642
4 | 0.17015151419005023
5 | 0.14957645280756296
6 | 0.13492160418873947
7 | 0.12375696523836938
8 | 0.11486254416157847
9 | 0.15531172040914726
10 | 0.14641391179661567

Query Topic: 10 (our_search_pre_training)
K | NDCG@K
1 | 0.25
2 | 0.625
3 | 0.4751172083949179
4 | 0.39924242904974877
5 | 0.35096523608268054
6 | 0.31657919263319134
7 | 0.33175709614648735
8 | 0.3258812083712668
9 | 0.3528915123531827
10 | 0.33267435726898403

Query Topic: 11 (our_search_pre_training)
K | NDCG@K
1 | 0.0
2 | 0.0
3 | 0.0
4 | 0.07984848580994976
5 | 0.07019304721653612
