Query Topic: 1 (tfidf_only)
K | NDCG@K
1 | 0.0
2 | 0.0
3 | 0.11990623328406573
4 | 0.18060605676020097
5 | 0.1587668111820537
6 | 0.16770544120064138
7 | 0.1745152404325684
8 | 0.17994033497314546
9 | 0.18440213408838738
10 | 0.17383773564802202

Query Topic: 2 (tfidf_only)
K | NDCG@K
1 | 0.25
2 | 0.375
3 | 0.3450234416789836
4 | 0.3298484858099498
5 | 0.35042354719243707
6 | 0.3895723056876995
7 | 0.41939736668446936
8 | 0.42519028314154034
9 | 0.41403316656069045
10 | 0.4046357062896974

Query Topic: 3 (tfidf_only)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.5
4 | 0.5
5 | 0.530230499975901
6 | 0.5762564671610612
7 | 0.5906335850864824
8 | 0.6020872596090372
9 | 0.5955857605735154
10 | 0.5901096522577626

Query Topic: 4 (tfidf_only)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.6300937667159343
4 | 0.5693939432397991
5 | 0.5307721888661445
6 | 0.5032633541065531
7 | 0.48230604393401816
8 | 0.46561019356751265
9 | 0.45187890652056606
10 | 0.44031326377064933

Query Topic: 5 (tfidf_only)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.5
4 | 0.5
5 | 0.530230499975901
6 | 0.5517625572846223
7 | 0.5681665237781262
8 | 0.5452998751852914
9 | 0.542414920726191
10 | 0.5256624696348244

Query Topic: 6 (tfidf_only)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.5
4 | 0.5399242429049749
5 | 0.5350965236082681
6 | 0.5071640093868802
7 | 0.5065711941833958
8 | 0.5060989220334453
9 | 0.4738676557022666
10 | 0.4753647777323714

Query Topic: 7 (tfidf_only)
K | NDCG@K
1 | 0.5
2 | 0.625
3 | 0.6549765583210164
4 | 0.6302272712850754
5 | 0.614479929199295
6 | 0.6277575948018593
7 | 0.5964985004404914
8 | 0.5536281147262563
9 | 0.5183699182802438
10 | 0.4886725051603542

Query Topic: 8 (tfidf_only)
K | NDCG@K
1 | 0.5
2 | 0.625
3 | 0.6549765583210164
4 | 0.6302272712850754
5 | 0.614479929199295
6 | 0.6032636849254204
7 | 0.5533441685176526
8 | 0.5854453519456417
9 | 0.5481608523361688
10 | 0.5454017170592256

Query Topic: 9 (tfidf_only)
K | NDCG@K
1 | 0.75
2 | 0.75
3 | 0.6900468833579672
4 | 0.6197727287149246
5 | 0.665750570776606
6 | 0.6984988723592019
7 | 0.6820732728025444
8 | 0.668987654938402
9 | 0.6582255571036213
10 | 0.6491608147840436

Query Topic: 10 (tfidf_only)
K | NDCG@K
1 | 0.75
2 | 0.625
3 | 0.7149296749630493
4 | 0.7604545425701508
5 | 0.7591903583744908
6 | 0.758289927135463
7 | 0.7576039432713603
8 | 0.7570574473778222
9 | 0.7406865627777163
10 | 0.7268976293632742

Query Topic: 11 (tfidf_only)
K | NDCG@K
1 | 0.5
2 | 0.5
