Query Topic: 1 (ucl_site_search)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.5701406500739015
4 | 0.47909091485969857
5 | 0.4211582832992167
6 | 0.4043889410362686
7 | 0.391613397823866
8 | 0.36346811765438763
9 | 0.35624182065789967
10 | 0.35015522664960086

Query Topic: 2 (ucl_site_search)
K | NDCG@K
1 | 0.0
2 | 0.0
3 | 0.059953116642032865
4 | 0.13022727128507536
5 | 0.14471042917519583
6 | 0.13053233233360365
7 | 0.14041817221638675
8 | 0.148293825249689
9 | 0.15477105462755764
10 | 0.188871721483934

Query Topic: 3 (ucl_site_search)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.6300937667159343
4 | 0.5693939432397991
5 | 0.5307721888661445
6 | 0.5277572639829922
7 | 0.5254603758568569
8 | 0.4876955047400054
9 | 0.45663627300199555
10 | 0.430475580479835

Query Topic: 4 (ucl_site_search)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.6300937667159343
4 | 0.5693939432397991
5 | 0.5307721888661445
6 | 0.5032633541065531
7 | 0.5029933145485005
8 | 0.48481066870813766
9 | 0.4857780119703866
10 | 0.48659278967836544

Query Topic: 5 (ucl_site_search)
K | NDCG@K
1 | 0.5
2 | 0.5
3 | 0.6199062332840657
4 | 0.6007575709502512
5 | 0.6188042639414186
6 | 0.5826704303293085
7 | 0.5551422574586737
8 | 0.5332116637265764
9 | 0.5151751294360246
10 | 0.499983246014031

Query Topic: 6 (ucl_site_search)
K | NDCG@K
1 | 0.0
2 | 0.0
3 | 0.0
4 | 0.0
5 | 0.0
6 | 0.04898781975287792
7 | 0.04493412261671285
8 | 0.05967222045561363
9 | 0.05587195306450745
10 | 0.05267104881937583

Query Topic: 7 (ucl_site_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.9049765583210164
4 | 0.8403030283801005
5 | 0.7689224056392251
6 | 0.7180806510928568
7 | 0.6793474066986127
8 | 0.6484901808766137
9 | 0.6231120530225004
10 | 0.6017364631437895

Query Topic: 8 (ucl_site_search)
K | NDCG@K
1 | 0.0
2 | 0.0
3 | 0.23981246656813146
4 | 0.20151514190050246
5 | 0.17714752793103522
6 | 0.1597913855951283
7 | 0.14656879505245024
8 | 0.13603488629504495
9 | 0.127371408742296
10 | 0.12007430061219553

Query Topic: 9 (ucl_site_search)
K | NDCG@K
1 | 1.0
2 | 0.875
3 | 0.7850703250369508
4 | 0.7395454574298493
5 | 0.6803486416737076
6 | 0.6381849582952926
7 | 0.6060630091723876
8 | 0.5804727377290912
9 | 0.5753477747441395
10 | 0.5567086004142162

Query Topic: 10 (ucl_site_search)
K | NDCG@K
1 | 1.0
2 | 0.75
3 | 0.6900468833579672
4 | 0.6596969716198996
5 | 0.6403860944330723
6 | 0.6021377671768376
7 | 0.614373231273135
8 | 0.6061532197618875
9 | 0.5834713510972994
10 | 0.5643667770702427

Query Topic: 11 (ucl_site_search)
K | NDCG@K
1 | 1.0
2 | 0.5
3 | 0.4400468833579672
4 | 0.40969697161989954
5 | 0.4508470943848742
6 | 0.5046507014989601
7 | 0.5042658602171354
8 | 0.4680242403068338
9 | 0.43821778690012164
10 | 0.4131122894645605

Query Topic: 12 (ucl_site_search)
K | NDCG@K
1 | 0.5
2 | 0.625
3 | 0.7149296749630493
4 | 0.6007575709502512
5 | 0.5281127640137158
6 | 0.5008644881047586
7 | 0.4594184112783294
